DATE,ITAT,ITAT_peak,ATIT,ATIT_peak
2020-03-23 17:55:00,7.5077859033e+09,7.5077859033e+09,1.2716763710e+10,1.2716763710e+10
2020-03-23 18:00:00,7.6728491894e+09,7.6728491894e+09,9.2279208970e+09,9.2279208970e+09
2020-03-23 18:05:00,7.0183103126e+09,7.0183103126e+09,8.7965920971e+09,8.7965920971e+09
2020-03-23 18:10:00,6.8135679580e+09,6.8135679580e+09,9.7304934982e+09,9.7304934982e+09
2020-03-23 18:15:00,6.7084689204e+09,6.7084689204e+09,1.0535683149e+10,1.0535683149e+10
2020-03-23 18:20:00,6.2718524720e+09,6.2718524720e+09,1.1169434922e+10,1.1169434922e+10
2020-03-23 18:25:00,6.7630983707e+09,6.7630983707e+09,1.0931805863e+10,1.0931805863e+10
2020-03-23 18:30:00,6.8689060499e+09,6.8689060499e+09,1.0041366317e+10,1.0041366317e+10
2020-03-23 18:35:00,5.7281185864e+09,5.7281185864e+09,9.2441197134e+09,9.2441197134e+09
2020-03-23 18:40:00,7.0766219661e+09,7.0766219661e+09,1.2612219846e+10,1.2612219846e+10
2020-03-23 18:45:00,6.4048605720e+09,6.4048605720e+09,1.0585845113e+10,1.0585845113e+10
2020-03-23 18:50:00,5.5737909427e+09,5.5737909427e+09,1.0456326301e+10,1.0456326301e+10
2020-03-23 18:55:00,5.4646634239e+09,5.4646634239e+09,9.5434254841e+09,9.5434254841e+09
2020-03-23 19:00:00,4.6615341737e+09,4.6615341737e+09,9.6899715724e+09,9.6899715724e+09
2020-03-23 19:05:00,4.5802808790e+09,4.5802808790e+09,1.3219049203e+10,1.3219049203e+10
2020-03-23 19:10:00,4.7018144574e+09,4.7018144574e+09,9.3724471407e+09,9.3724471407e+09
2020-03-23 19:15:00,5.3126712078e+09,5.3126712078e+09,1.1080279600e+10,1.1080279600e+10
2020-03-23 19:20:00,4.5906992664e+09,4.5906992664e+09,1.3146064843e+10,1.3146064843e+10
2020-03-23 19:25:00,4.4106566720e+09,4.4106566720e+09,1.0386708285e+10,1.0386708285e+10
2020-03-23 19:30:00,5.5786921670e+09,5.5786921670e+09,9.6394294751e+09,9.6394294751e+09
2020-03-23 19:35:00,4.7118172947e+09,4.7118172947e+09,1.0283617307e+10,1.0283617307e+10
2020-03-23 19:40:00,5.2478110588e+09,5.2478110588e+09,9.9450049732e+09,9.9450049732e+09
2020-03-23 19:45:00,5.9196123897e+09,5.9196123897e+09,9.2750933963e+09,9.2750933963e+09
2020-03-23 19:50:00,4.7907159895e+09,4.7907159895e+09,1.0279372085e+10,1.0279372085e+10
2020-03-23 19:55:00,5.0093084974e+09,5.0093084974e+09,1.1756313424e+10,1.1756313424e+10
2020-03-23 20:00:00,5.9879975448e+09,5.9879975448e+09,1.0571367877e+10,1.0571367877e+10
2020-03-23 20:05:00,5.8029260323e+09,5.8029260323e+09,1.1799756649e+10,1.1799756649e+10
2020-03-23 20:10:00,5.3670010145e+09,5.3670010145e+09,9.6246367570e+09,9.6246367570e+09
2020-03-23 20:15:00,5.4393427279e+09,5.4393427279e+09,1.0577343977e+10,1.0577343977e+10
2020-03-23 20:20:00,5.3694586663e+09,5.3694586663e+09,1.1442444056e+10,1.1442444056e+10
2020-03-23 20:25:00,5.8900537952e+09,5.8900537952e+09,9.9796581981e+09,9.9796581981e+09
2020-03-23 20:30:00,6.3178456619e+09,6.3178456619e+09,1.2025759614e+10,1.2025759614e+10
2020-03-23 20:35:00,5.0865547519e+09,5.0865547519e+09,1.4848607486e+10,1.4848607486e+10
2020-03-23 20:40:00,5.1540489598e+09,5.1540489598e+09,1.8656392845e+10,1.8656392845e+10
2020-03-23 20:45:00,5.7549480172e+09,5.7549480172e+09,1.6677960709e+10,1.6677960709e+10
2020-03-23 20:50:00,5.3181389106e+09,5.3181389106e+09,1.7321667600e+10,1.7321667600e+10
2020-03-23 20:55:00,6.5048664212e+09,6.5048664212e+09,1.3796257244e+10,1.3796257244e+10
2020-03-23 21:00:00,5.3876314856e+09,5.3876314856e+09,8.8713179019e+09,8.8713179019e+09
2020-03-23 21:05:00,4.8238777663e+09,4.8238777663e+09,9.2129481409e+09,9.2129481409e+09
2020-03-23 21:10:00,4.5736293942e+09,4.5736293942e+09,1.1689856603e+10,1.1689856603e+10
2020-03-23 21:15:00,4.7140845090e+09,4.7140845090e+09,1.0672854716e+10,1.0672854716e+10
2020-03-23 21:20:00,5.3888852081e+09,5.3888852081e+09,1.0062051276e+10,1.0062051276e+10
2020-03-23 21:25:00,5.6777098457e+09,5.6777098457e+09,9.0869615478e+09,9.0869615478e+09
2020-03-23 21:30:00,5.5246430420e+09,5.5246430420e+09,8.0131674138e+09,8.0131674138e+09
2020-03-23 21:35:00,7.2070230790e+09,7.2070230790e+09,9.7843820176e+09,9.7843820176e+09
2020-03-23 21:40:00,7.3101286601e+09,7.3101286601e+09,9.1535840350e+09,9.1535840350e+09
2020-03-23 21:45:00,6.6454112903e+09,6.6454112903e+09,9.3831387667e+09,9.3831387667e+09
2020-03-23 21:50:00,5.7949801708e+09,5.7949801708e+09,1.0913382300e+10,1.0913382300e+10
2020-03-23 21:55:00,5.6422687446e+09,5.6422687446e+09,9.3651111785e+09,9.3651111785e+09
2020-03-23 22:00:00,5.4562287884e+09,5.4562287884e+09,9.3603532396e+09,9.3603532396e+09
2020-03-23 22:05:00,5.3795648847e+09,5.3795648847e+09,9.2515785017e+09,9.2515785017e+09
2020-03-23 22:10:00,5.7233852317e+09,5.7233852317e+09,1.0473683722e+10,1.0473683722e+10
2020-03-23 22:15:00,5.2842926329e+09,5.2842926329e+09,1.0577805520e+10,1.0577805520e+10
2020-03-23 22:20:00,5.9873043364e+09,5.9873043364e+09,1.0721677544e+10,1.0721677544e+10
2020-03-23 22:25:00,5.0254083673e+09,5.0254083673e+09,1.0365914471e+10,1.0365914471e+10
2020-03-23 22:30:00,5.5142998096e+09,5.5142998096e+09,1.0244139728e+10,1.0244139728e+10
2020-03-23 22:35:00,5.8996672352e+09,5.8996672352e+09,9.0641079710e+09,9.0641079710e+09
2020-03-23 22:40:00,5.1706606473e+09,5.1706606473e+09,8.8094582307e+09,8.8094582307e+09
2020-03-23 22:45:00,4.6610182629e+09,4.6610182629e+09,8.9082878751e+09,8.9082878751e+09
2020-03-23 22:50:00,4.9366198660e+09,4.9366198660e+09,9.9684510496e+09,9.9684510496e+09
2020-03-23 22:55:00,5.6488427183e+09,5.6488427183e+09,9.3288847921e+09,9.3288847921e+09
2020-03-23 23:00:00,5.8122311587e+09,5.8122311587e+09,8.8367796731e+09,8.8367796731e+09
2020-03-23 23:05:00,5.6482981975e+09,5.6482981975e+09,1.0547887358e+10,1.0547887358e+10
2020-03-23 23:10:00,5.1203916963e+09,5.1203916963e+09,8.9757143079e+09,8.9757143079e+09
2020-03-23 23:15:00,5.5885252962e+09,5.5885252962e+09,9.3247395267e+09,9.3247395267e+09
2020-03-23 23:20:00,5.0762726932e+09,5.0762726932e+09,8.5290153155e+09,8.5290153155e+09
2020-03-23 23:25:00,4.6807705709e+09,4.6807705709e+09,8.9729831779e+09,8.9729831779e+09
2020-03-23 23:30:00,4.5055046404e+09,4.5055046404e+09,8.2000319266e+09,8.2000319266e+09
2020-03-23 23:35:00,4.8098732175e+09,4.8098732175e+09,8.0494073269e+09,8.0494073269e+09
2020-03-23 23:40:00,5.0994968465e+09,5.0994968465e+09,8.6951153154e+09,8.6951153154e+09
2020-03-23 23:45:00,5.0715122575e+09,5.0715122575e+09,8.7803402248e+09,8.7803402248e+09
2020-03-23 23:50:00,5.4080298534e+09,5.4080298534e+09,8.4283077646e+09,8.4283077646e+09
2020-03-23 23:55:00,4.7863773018e+09,4.7863773018e+09,8.3407882663e+09,8.3407882663e+09
2020-03-24 00:00:00,4.9245816731e+09,4.9245816731e+09,1.0787964917e+10,1.0787964917e+10
2020-03-24 00:05:00,5.0015888876e+09,5.0015888876e+09,9.4518962322e+09,9.4518962322e+09
2020-03-24 00:10:00,4.9967226256e+09,4.9967226256e+09,1.0277922957e+10,1.0277922957e+10
2020-03-24 00:15:00,5.1343736263e+09,5.1343736263e+09,1.1644579947e+10,1.1644579947e+10
2020-03-24 00:20:00,5.1157023437e+09,5.1157023437e+09,8.6597907787e+09,8.6597907787e+09
2020-03-24 00:25:00,5.1190427926e+09,5.1190427926e+09,8.2379808713e+09,8.2379808713e+09
2020-03-24 00:30:00,5.0062691234e+09,5.0062691234e+09,8.4054100254e+09,8.4054100254e+09
2020-03-24 00:35:00,6.0771108772e+09,6.0771108772e+09,7.2840544333e+09,7.2840544333e+09
2020-03-24 00:40:00,5.0154402183e+09,5.0154402183e+09,6.7759574252e+09,6.7759574252e+09
2020-03-24 00:45:00,5.6182382156e+09,5.6182382156e+09,9.7520923269e+09,9.7520923269e+09
2020-03-24 00:50:00,5.6966003001e+09,5.6966003001e+09,9.7880740999e+09,9.7880740999e+09
2020-03-24 00:55:00,5.8250423905e+09,5.8250423905e+09,9.3705106979e+09,9.3705106979e+09
2020-03-24 01:00:00,5.9238384763e+09,5.9238384763e+09,8.2615622546e+09,8.2615622546e+09
2020-03-24 01:05:00,5.2326712683e+09,5.2326712683e+09,6.0915359533e+09,6.0915359533e+09
2020-03-24 01:10:00,5.8427616984e+09,5.8427616984e+09,6.6648982969e+09,6.6648982969e+09
2020-03-24 01:15:00,6.2147392783e+09,6.2147392783e+09,7.0417395292e+09,7.0417395292e+09
2020-03-24 01:20:00,5.8633033911e+09,5.8633033911e+09,7.1343479642e+09,7.1343479642e+09
2020-03-24 01:25:00,5.2960443827e+09,5.2960443827e+09,5.6648310483e+09,5.6648310483e+09
2020-03-24 01:30:00,5.1040746897e+09,5.1040746897e+09,7.6939491595e+09,7.6939491595e+09
2020-03-24 01:35:00,5.3881641349e+09,5.3881641349e+09,7.2669905985e+09,7.2669905985e+09
2020-03-24 01:40:00,5.5805840348e+09,5.5805840348e+09,8.1241921284e+09,8.1241921284e+09
2020-03-24 01:45:00,5.2472495209e+09,5.2472495209e+09,6.0922760301e+09,6.0922760301e+09
2020-03-24 01:50:00,5.9287290783e+09,5.9287290783e+09,6.3786383807e+09,6.3786383807e+09
2020-03-24 01:55:00,6.2354683639e+09,6.2354683639e+09,6.8185474249e+09,6.8185474249e+09
2020-03-24 02:00:00,5.6472023923e+09,5.6472023923e+09,6.4414131931e+09,6.4414131931e+09
2020-03-24 02:05:00,5.3036014180e+09,5.3036014180e+09,6.2941280699e+09,6.2941280699e+09
2020-03-24 02:10:00,5.3573975228e+09,5.3573975228e+09,7.0852596373e+09,7.0852596373e+09
2020-03-24 02:15:00,5.4200500425e+09,5.4200500425e+09,7.1114532099e+09,7.1114532099e+09
2020-03-24 02:20:00,5.5799161213e+09,5.5799161213e+09,7.2894554709e+09,7.2894554709e+09
2020-03-24 02:25:00,5.5429410190e+09,5.5429410190e+09,6.2327895919e+09,6.2327895919e+09
2020-03-24 02:30:00,5.6011254947e+09,5.6011254947e+09,6.4623334698e+09,6.4623334698e+09
2020-03-24 02:35:00,5.5936257393e+09,5.5936257393e+09,6.0855332535e+09,6.0855332535e+09
2020-03-24 02:40:00,6.3041126844e+09,6.3041126844e+09,6.0977702040e+09,6.0977702040e+09
2020-03-24 02:45:00,5.9877892865e+09,5.9877892865e+09,5.9125757228e+09,5.9125757228e+09
2020-03-24 02:50:00,5.4979412768e+09,5.4979412768e+09,6.2953549845e+09,6.2953549845e+09
2020-03-24 02:55:00,5.5630526736e+09,5.5630526736e+09,5.3795846107e+09,5.3795846107e+09
2020-03-24 03:00:00,4.9421606180e+09,4.9421606180e+09,5.5982641369e+09,5.5982641369e+09
2020-03-24 03:05:00,5.0204824629e+09,5.0204824629e+09,5.5995517733e+09,5.5995517733e+09
2020-03-24 03:10:00,6.0970218175e+09,6.0970218175e+09,5.8846941615e+09,5.8846941615e+09
2020-03-24 03:15:00,5.2428045535e+09,5.2428045535e+09,5.5125853277e+09,5.5125853277e+09
2020-03-24 03:20:00,4.1042163511e+09,4.1042163511e+09,5.9133878984e+09,5.9133878984e+09
2020-03-24 03:25:00,4.3600723294e+09,4.3600723294e+09,6.4986300380e+09,6.4986300380e+09
2020-03-24 03:30:00,4.5319520602e+09,4.5319520602e+09,5.2921480190e+09,5.2921480190e+09
2020-03-24 03:35:00,4.1263673299e+09,4.1263673299e+09,5.9126549979e+09,5.9126549979e+09
2020-03-24 03:40:00,4.4890340019e+09,4.4890340019e+09,5.6487662678e+09,5.6487662678e+09
2020-03-24 03:45:00,3.8407555431e+09,3.8407555431e+09,5.0206080921e+09,5.0206080921e+09
2020-03-24 03:50:00,3.8191052003e+09,3.8191052003e+09,5.5363758281e+09,5.5363758281e+09
2020-03-24 03:55:00,3.6712605235e+09,3.6712605235e+09,5.6768486547e+09,5.6768486547e+09
2020-03-24 04:00:00,3.9665231377e+09,3.9665231377e+09,5.9208890019e+09,5.9208890019e+09
2020-03-24 04:05:00,3.9211110013e+09,3.9211110013e+09,6.3896463249e+09,6.3896463249e+09
2020-03-24 04:10:00,4.0944817246e+09,4.0944817246e+09,5.9702404017e+09,5.9702404017e+09
2020-03-24 04:15:00,4.5498688637e+09,4.5498688637e+09,6.7091882315e+09,6.7091882315e+09
2020-03-24 04:20:00,4.5036214912e+09,4.5036214912e+09,1.0404448953e+10,1.0404448953e+10
2020-03-24 04:25:00,4.5969255208e+09,4.5969255208e+09,9.9033537414e+09,9.9033537414e+09
2020-03-24 04:30:00,4.4825838076e+09,4.4825838076e+09,7.7003262583e+09,7.7003262583e+09
2020-03-24 04:35:00,4.6974990173e+09,4.6974990173e+09,6.5042839283e+09,6.5042839283e+09
2020-03-24 04:40:00,5.1225022046e+09,5.1225022046e+09,6.5645385066e+09,6.5645385066e+09
2020-03-24 04:45:00,4.3241860770e+09,4.3241860770e+09,6.5553015729e+09,6.5553015729e+09
2020-03-24 04:50:00,4.0764372652e+09,4.0764372652e+09,5.2700358429e+09,5.2700358429e+09
2020-03-24 04:55:00,4.0734415850e+09,4.0734415850e+09,6.0033066526e+09,6.0033066526e+09
2020-03-24 05:00:00,5.0064986076e+09,5.0064986076e+09,5.9502906960e+09,5.9502906960e+09
2020-03-24 05:05:00,5.0993241945e+09,5.0993241945e+09,5.1010945617e+09,5.1010945617e+09
2020-03-24 05:10:00,4.2421278688e+09,4.2421278688e+09,5.0059506320e+09,5.0059506320e+09
2020-03-24 05:15:00,5.3875906910e+09,5.3875906910e+09,5.7923672312e+09,5.7923672312e+09
2020-03-24 05:20:00,5.2222967783e+09,5.2222967783e+09,5.8131148513e+09,5.8131148513e+09
2020-03-24 05:25:00,4.4950600181e+09,4.4950600181e+09,4.3382617459e+09,4.3382617459e+09
2020-03-24 05:30:00,4.1773556247e+09,4.1773556247e+09,5.0467106852e+09,5.0467106852e+09
2020-03-24 05:35:00,4.5452762537e+09,4.5452762537e+09,8.9409992762e+09,8.9409992762e+09
2020-03-24 05:40:00,4.5399396691e+09,4.5399396691e+09,8.6880316379e+09,8.6880316379e+09
2020-03-24 05:45:00,3.6770095970e+09,3.6770095970e+09,9.4611786054e+09,9.4611786054e+09
2020-03-24 05:50:00,4.1482982191e+09,4.1482982191e+09,8.3240068203e+09,8.3240068203e+09
2020-03-24 05:55:00,4.8205782446e+09,4.8205782446e+09,8.8047116307e+09,8.8047116307e+09
2020-03-24 06:00:00,4.2138638546e+09,4.2138638546e+09,7.6858178850e+09,7.6858178850e+09
2020-03-24 06:05:00,4.7146708451e+09,4.7146708451e+09,8.6365717377e+09,8.6365717377e+09
2020-03-24 06:10:00,4.5114888910e+09,4.5114888910e+09,8.6774273236e+09,8.6774273236e+09
2020-03-24 06:15:00,4.0532949519e+09,4.0532949519e+09,4.8596494851e+09,4.8596494851e+09
2020-03-24 06:20:00,4.4122557506e+09,4.4122557506e+09,5.0041007700e+09,5.0041007700e+09
2020-03-24 06:25:00,4.8940154703e+09,4.8940154703e+09,5.6368921801e+09,5.6368921801e+09
2020-03-24 06:30:00,4.4292910921e+09,4.4292910921e+09,6.1598329482e+09,6.1598329482e+09
2020-03-24 06:35:00,4.0175581951e+09,4.0175581951e+09,6.2267922852e+09,6.2267922852e+09
2020-03-24 06:40:00,3.8370256865e+09,3.8370256865e+09,6.3897191027e+09,6.3897191027e+09
2020-03-24 06:45:00,4.1206486741e+09,4.1206486741e+09,5.9873026274e+09,5.9873026274e+09
2020-03-24 06:50:00,4.5883154081e+09,4.5883154081e+09,1.0362545447e+10,1.0362545447e+10
2020-03-24 06:55:00,6.5136800491e+09,6.5136800491e+09,1.1503915934e+10,1.1503915934e+10
2020-03-24 07:00:00,6.2444263149e+09,6.2444263149e+09,8.7759224353e+09,8.7759224353e+09
2020-03-24 07:05:00,5.6205622732e+09,5.6205622732e+09,8.8259409095e+09,8.8259409095e+09
2020-03-24 07:10:00,5.8192204019e+09,5.8192204019e+09,8.9522470197e+09,8.9522470197e+09
2020-03-24 07:15:00,6.2978913208e+09,6.2978913208e+09,8.4297861433e+09,8.4297861433e+09
2020-03-24 07:20:00,5.9460143180e+09,5.9460143180e+09,8.1041108826e+09,8.1041108826e+09
2020-03-24 07:25:00,5.2658818856e+09,5.2658818856e+09,8.0095225817e+09,8.0095225817e+09
2020-03-24 07:30:00,5.0783539646e+09,5.0783539646e+09,8.9063841122e+09,8.9063841122e+09
2020-03-24 07:35:00,4.7260607903e+09,4.7260607903e+09,7.3175232803e+09,7.3175232803e+09
2020-03-24 07:40:00,4.9281988758e+09,4.9281988758e+09,7.7332414238e+09,7.7332414238e+09
2020-03-24 07:45:00,5.2457607472e+09,5.2457607472e+09,6.9097661052e+09,6.9097661052e+09
2020-03-24 07:50:00,5.2332855222e+09,5.2332855222e+09,6.2159131476e+09,6.2159131476e+09
2020-03-24 07:55:00,5.6460778364e+09,5.6460778364e+09,6.3140740694e+09,6.3140740694e+09
2020-03-24 08:00:00,5.1118779760e+09,5.1118779760e+09,7.7532577885e+09,7.7532577885e+09
2020-03-24 08:05:00,5.1152687657e+09,5.1152687657e+09,7.7990919262e+09,7.7990919262e+09
2020-03-24 08:10:00,4.4939702735e+09,4.4939702735e+09,1.0021205551e+10,1.0021205551e+10
2020-03-24 08:15:00,4.5766373963e+09,4.5766373963e+09,9.7350882342e+09,9.7350882342e+09
2020-03-24 08:20:00,5.4145716135e+09,5.4145716135e+09,9.6590474643e+09,9.6590474643e+09
2020-03-24 08:25:00,4.8876337558e+09,4.8876337558e+09,9.1959874005e+09,9.1959874005e+09
2020-03-24 08:30:00,5.6574840720e+09,5.6574840720e+09,1.0315788187e+10,1.0315788187e+10
2020-03-24 08:35:00,4.5510526640e+09,4.5510526640e+09,9.9987604666e+09,9.9987604666e+09
2020-03-24 08:40:00,5.3708277178e+09,5.3708277178e+09,1.0464790461e+10,1.0464790461e+10
2020-03-24 08:45:00,5.5087487565e+09,5.5087487565e+09,1.1545507744e+10,1.1545507744e+10
2020-03-24 08:50:00,4.7421968707e+09,4.7421968707e+09,9.6840279095e+09,9.6840279095e+09
2020-03-24 08:55:00,4.9476521291e+09,4.9476521291e+09,9.8852546760e+09,9.8852546760e+09
2020-03-24 09:00:00,4.6268409435e+09,4.6268409435e+09,1.4139763696e+10,1.4139763696e+10
2020-03-24 09:05:00,4.9472300064e+09,4.9472300064e+09,1.2388646432e+10,1.2388646432e+10
2020-03-24 09:10:00,4.4785200929e+09,4.4785200929e+09,1.3565448108e+10,1.3565448108e+10
2020-03-24 09:15:00,4.5247896841e+09,4.5247896841e+09,1.2821336141e+10,1.2821336141e+10
2020-03-24 09:20:00,5.1542952377e+09,5.1542952377e+09,1.1025635435e+10,1.1025635435e+10
2020-03-24 09:25:00,5.8544312772e+09,5.8544312772e+09,1.1794623589e+10,1.1794623589e+10
2020-03-24 09:30:00,5.0797823817e+09,5.0797823817e+09,1.1412550766e+10,1.1412550766e+10
2020-03-24 09:35:00,8.5398999262e+09,8.5398999262e+09,9.6139378031e+09,9.6139378031e+09
2020-03-24 09:40:00,1.0218188051e+10,1.0218188051e+10,1.0000018437e+10,1.0000018437e+10
2020-03-24 09:45:00,9.5994743619e+09,9.5994743619e+09,8.9767022251e+09,8.9767022251e+09
2020-03-24 09:50:00,8.5617511670e+09,8.5617511670e+09,7.9723902374e+09,7.9723902374e+09
2020-03-24 09:55:00,8.0369440715e+09,8.0369440715e+09,6.9017224869e+09,6.9017224869e+09
2020-03-24 10:00:00,7.8624368157e+09,7.8624368157e+09,6.7024473169e+09,6.7024473169e+09
2020-03-24 10:05:00,9.8919037206e+09,9.8919037206e+09,5.9125588685e+09,5.9125588685e+09
2020-03-24 10:10:00,7.8860810535e+09,7.8860810535e+09,1.1227718249e+10,1.1227718249e+10
2020-03-24 10:15:00,8.3280253956e+09,8.3280253956e+09,1.0433408248e+10,1.0433408248e+10
2020-03-24 10:20:00,8.8156756178e+09,8.8156756178e+09,1.1009058027e+10,1.1009058027e+10
2020-03-24 10:25:00,9.2285038522e+09,9.2285038522e+09,1.1955344756e+10,1.1955344756e+10
2020-03-24 10:30:00,9.3539418884e+09,9.3539418884e+09,8.8772641588e+09,8.8772641588e+09
2020-03-24 10:35:00,9.1613851725e+09,9.1613851725e+09,8.8229832772e+09,8.8229832772e+09
2020-03-24 10:40:00,9.7707325907e+09,9.7707325907e+09,1.0138555969e+10,1.0138555969e+10
2020-03-24 10:45:00,9.9745502185e+09,9.9745502185e+09,1.1099966655e+10,1.1099966655e+10
2020-03-24 10:50:00,1.0037709000e+10,1.0037709000e+10,1.1005163847e+10,1.1005163847e+10
2020-03-24 10:55:00,9.5854822369e+09,9.5854822369e+09,1.1218683617e+10,1.1218683617e+10
2020-03-24 11:00:00,9.6530588081e+09,9.6530588081e+09,1.0827709158e+10,1.0827709158e+10
2020-03-24 11:05:00,9.5773269596e+09,9.5773269596e+09,1.1071914224e+10,1.1071914224e+10
2020-03-24 11:10:00,9.9587239756e+09,9.9587239756e+09,1.3118279181e+10,1.3118279181e+10
2020-03-24 11:15:00,9.0450161648e+09,9.0450161648e+09,1.3952981151e+10,1.3952981151e+10
2020-03-24 11:20:00,7.9636075530e+09,7.9636075530e+09,1.4574861825e+10,1.4574861825e+10
2020-03-24 11:25:00,7.2533382490e+09,7.2533382490e+09,1.5473225130e+10,1.5473225130e+10
2020-03-24 11:30:00,6.6958154657e+09,6.6958154657e+09,1.3655290843e+10,1.3655290843e+10
2020-03-24 11:35:00,7.1526874143e+09,7.1526874143e+09,1.5152018830e+10,1.5152018830e+10
2020-03-24 11:40:00,6.4133588882e+09,6.4133588882e+09,1.6246015196e+10,1.6246015196e+10
2020-03-24 11:45:00,6.2861250003e+09,6.2861250003e+09,1.5532039545e+10,1.5532039545e+10
2020-03-24 11:50:00,6.4166141029e+09,6.4166141029e+09,1.5221762732e+10,1.5221762732e+10
2020-03-24 11:55:00,1.0492459478e+10,1.0492459478e+10,2.6686951569e+10,2.6686951569e+10
2020-03-24 12:00:00,9.5444907387e+09,9.5444907387e+09,2.2909193650e+10,2.2909193650e+10
2020-03-24 12:05:00,7.4314820343e+09,7.4314820343e+09,2.1794850323e+10,2.1794850323e+10
2020-03-24 12:10:00,6.6675391889e+09,6.6675391889e+09,1.9092551551e+10,1.9092551551e+10
2020-03-24 12:15:00,6.6481092577e+09,6.6481092577e+09,2.4846716196e+10,2.4846716196e+10
2020-03-24 12:20:00,5.9235123771e+09,5.9235123771e+09,2.0373298845e+10,2.0373298845e+10
2020-03-24 12:25:00,6.2171321621e+09,6.2171321621e+09,2.1033647154e+10,2.1033647154e+10
2020-03-24 12:30:00,5.5800235682e+09,5.5800235682e+09,1.7141624823e+10,1.7141624823e+10
2020-03-24 12:35:00,5.4556588806e+09,5.4556588806e+09,1.7556260859e+10,1.7556260859e+10
2020-03-24 12:40:00,5.4809078279e+09,5.4809078279e+09,1.6614160756e+10,1.6614160756e+10
2020-03-24 12:45:00,5.1687562436e+09,5.1687562436e+09,1.4837935507e+10,1.4837935507e+10
2020-03-24 12:50:00,5.8780995959e+09,5.8780995959e+09,1.4991148105e+10,1.4991148105e+10
2020-03-24 12:55:00,5.4080221119e+09,5.4080221119e+09,1.8634400355e+10,1.8634400355e+10
2020-03-24 13:00:00,5.1858901984e+09,5.1858901984e+09,2.4268347108e+10,2.4268347108e+10
2020-03-24 13:05:00,6.1557988523e+09,6.1557988523e+09,1.8643126930e+10,1.8643126930e+10
2020-03-24 13:10:00,6.0672324207e+09,6.0672324207e+09,1.7754128207e+10,1.7754128207e+10
2020-03-24 13:15:00,6.3669882568e+09,6.3669882568e+09,1.7616027313e+10,1.7616027313e+10
2020-03-24 13:20:00,6.3214329760e+09,6.3214329760e+09,1.5037274549e+10,1.5037274549e+10
2020-03-24 13:25:00,6.3103842784e+09,6.3103842784e+09,1.8722708611e+10,1.8722708611e+10
2020-03-24 13:30:00,5.4300394132e+09,5.4300394132e+09,1.8957347829e+10,1.8957347829e+10
2020-03-24 13:35:00,5.6623741849e+09,5.6623741849e+09,1.7865934811e+10,1.7865934811e+10
2020-03-24 13:40:00,5.7233136340e+09,5.7233136340e+09,2.0166368741e+10,2.0166368741e+10
2020-03-24 13:45:00,6.1174975899e+09,6.1174975899e+09,2.4727073983e+10,2.4727073983e+10
2020-03-24 13:50:00,5.9267371520e+09,5.9267371520e+09,1.9154996054e+10,1.9154996054e+10
2020-03-24 13:55:00,5.1595616157e+09,5.1595616157e+09,1.8404650396e+10,1.8404650396e+10
2020-03-24 14:00:00,5.2625817250e+09,5.2625817250e+09,1.6159389642e+10,1.6159389642e+10
2020-03-24 14:05:00,6.4570972999e+09,6.4570972999e+09,1.5289621029e+10,1.5289621029e+10
2020-03-24 14:10:00,5.5484012695e+09,5.5484012695e+09,1.5441699840e+10,1.5441699840e+10
2020-03-24 14:15:00,5.4345313773e+09,5.4345313773e+09,1.7014492113e+10,1.7014492113e+10
2020-03-24 14:20:00,5.5348304921e+09,5.5348304921e+09,1.8311573396e+10,1.8311573396e+10
2020-03-24 14:25:00,4.9734645993e+09,4.9734645993e+09,1.8069444791e+10,1.8069444791e+10
2020-03-24 14:30:00,5.8032472689e+09,5.8032472689e+09,1.8616898444e+10,1.8616898444e+10
2020-03-24 14:35:00,6.1042451777e+09,6.1042451777e+09,2.3798202794e+10,2.3798202794e+10
2020-03-24 14:40:00,1.0004719318e+10,1.0004719318e+10,1.9944081506e+10,1.9944081506e+10
2020-03-24 14:45:00,1.2802114601e+10,1.2802114601e+10,1.7516419442e+10,1.7516419442e+10
2020-03-24 14:50:00,6.1534048414e+09,6.1534048414e+09,1.6087561746e+10,1.6087561746e+10
2020-03-24 14:55:00,5.6977914924e+09,5.6977914924e+09,1.4770611915e+10,1.4770611915e+10
2020-03-24 15:00:00,5.6288651323e+09,5.6288651323e+09,1.4575151460e+10,1.4575151460e+10
2020-03-24 15:05:00,5.6125852331e+09,5.6125852331e+09,1.7593870231e+10,1.7593870231e+10
2020-03-24 15:10:00,5.4027701329e+09,5.4027701329e+09,1.9928929696e+10,1.9928929696e+10
2020-03-24 15:15:00,5.6175838885e+09,5.6175838885e+09,1.9639103881e+10,1.9639103881e+10
2020-03-24 15:20:00,5.2138079606e+09,5.2138079606e+09,2.3482472614e+10,2.3482472614e+10
2020-03-24 15:25:00,5.8564975351e+09,5.8564975351e+09,2.2016166714e+10,2.2016166714e+10
2020-03-24 15:30:00,4.9032446580e+09,4.9032446580e+09,2.1819532012e+10,2.1819532012e+10
2020-03-24 15:35:00,5.6403580825e+09,5.6403580825e+09,2.0318265986e+10,2.0318265986e+10
2020-03-24 15:40:00,8.1819561953e+09,8.1819561953e+09,2.1038038749e+10,2.1038038749e+10
2020-03-24 15:45:00,6.4559244525e+09,6.4559244525e+09,2.0028562502e+10,2.0028562502e+10
